PriID,PriRA,PriRAdeg,PriDec,PriDecdeg,PripmRA,PripmDEC,PriV,PriV-J,SecID,SecRA,SecRAdeg,SecDec,SecDecdeg,SecpmRA,SecpmDEC,SecV,SecV-J,Sep,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
PMI06032+1921N,06:03:14.87,90.81195833333334,+19:21:38.6,19.360722222222222,0.667,-0.623,9.32,1.32,PMI06032+1921S,06:03:14.51,90.81045833333333,+19:21:34.0,19.359444444444446,0.659,-0.609,13.51,2.92,6.9,90.81044831369,19.35946080657,5.667E-4,3.126E-4,121.95,3374633977170787328,90.81358984272,0.0246,19.35671450395,0.0224,14.3354,0.0307,466.9496,909.151,666.877,0.032,-617.924,0.024,207,-0.8132,490.44,0.131,12.8,95,1.3896,0.0055,16,0.958,false,179801.0,70.0246,12.550386,67241.0,1586.05,13.269457,174272.0,11.644826,1.343,1.624631,,,0,,,131220908124339466,,,547074944,0.002788,0.025761,0.015611,12.550386,0.002788,179801.0,0.058,0.5085,0.4003,-0.4928,0.068028
PMI06050+0723S,06:05:03.52,91.26466666666667,+07:23:30.5,7.391805555555557,-0.199,-0.098,14.94,2.17,PMI06050+0723N,06:05:03.39,91.26412499999999,+07:23:39.1,7.394194444444445,-0.199,-0.098,16.83,2.99,8.8,91.26414029576,7.39418120249,8.975E-4,6.587E-4,104.87,3322408102564149888,91.26330194584,0.0454,7.39374341216,0.0403,6.1529,0.0488,126.0314,211.41,-187.06,0.055,-98.503,0.041,227,2.5736,291.46,0.093,0.584,31,,,14,1.123,false,6394.94,3.83328,16.172775,1752.53,10.0848,17.229378,6876.31,15.154507,1.349,2.074871,,,0,,,116870912636283168,,,487049183,0.002831,0.006843,0.004548,16.172775,0.002831,6394.94,0.004,0.8837,0.6771,-0.154,0.072487
PMI06394-3030E,06:39:24.52,99.85216666666666,-30:30:50.9,-30.51413888888889,0.04,0.183,14.73,2.16,PMI06394-3030W,06:39:24.03,99.85012499999999,-30:30:55.3,-30.515361111111112,0.04,0.183,16.17,2.48,7.0,99.85014314894,-30.51534789969,5.05E-4,4.727E-4,161.04,2894234910087077632,99.85042005785,0.0218,-30.51466567085,0.0255,7.3905,0.0302,245.0799,162.615,53.675,0.03,153.502,0.031,445,-1.2044,419.71,0.0,0.0,31,,,30,0.959,false,7944.02,2.9333,15.937266,2338.25,10.1973,16.916315,8247.86,14.957042,1.333,1.959273,,,0,,,71380998502952350,,32880685,,0.002784,0.005496,0.003989,15.937266,0.002784,7944.02,0.003,0.4762,0.5017,-0.0407,0.07369
PMI06436+0851,06:43:36.55,100.90229166666667,+08:51:44.4,8.862333333333334,0.069,-0.055,13.79,2.09,PMI06436+0851-2,06:43:35.88,100.89949999999999,+08:51:40.8,8.861333333333333,0.084,-0.065,18.67,3.54,10.5,100.89951039799,8.86133253645,0.0039613,0.0025053,132.29,3134441672057972480,100.89984030899,0.1456,8.86104876623,0.1408,4.7888,0.1724,27.7846,97.242,73.344,0.211,-63.848,0.201,215,1.452,258.33,0.44,1.194,31,,,16,1.07,false,903.456,1.83204,18.2976,106.774,13.8941,20.267378,1226.25,17.026443,1.475,3.240934,,,0,,,118631008997163870,,,495091604,0.003527,0.14131,0.012535,18.2976,0.003527,903.456,-0.041,3.3806,3.2466,-0.427,0.037097
PMI08152-6337,08:15:17.60,123.82333333333334,-63:37:18.4,-63.62177777777778,-0.152,0.24,12.22,2.26,PMI08153-6337,08:15:18.03,123.825125,-63:37:04.5,-63.617916666666666,-0.152,0.24,16.74,3.5,14.2,123.82513815954,-63.61790944774,9.153E-4,7.41E-4,90.48,5277263910448616832,123.82392605056,0.0445,-63.61678995214,0.0389,11.9734,0.0439,272.5507,279.524,-121.187,0.058,251.888,0.046,256,2.0862,313.03,0.161,1.883,31,,,20,1.093,false,6807.19,3.7748,16.104948,1169.66,7.38016,17.668392,8731.94,14.895119,1.455,2.773274,,,0,,,,,459518677,,0.00282,0.007397,0.003965,16.104948,0.00282,6807.19,0.007,0.9153,0.7411,-0.0035,0.033444
PMI08239-7549W,08:23:54.94,125.97891666666666,-75:49:34.3,-75.82619444444444,-0.045,0.202,11.06,1.53,PMI08239-7549E,08:23:58.54,125.99391666666666,-75:49:32.4,-75.82566666666666,-0.03,0.216,16.53,3.3,13.3,125.99395264413,-75.82564482167,8.244E-4,7.242E-4,54.46,5210633883758218240,125.99311082011,0.0351,-75.82477032183,0.0385,9.9803,0.0363,275.1078,202.156,-46.382,0.049,196.763,0.046,307,-0.5353,311.66,0.018,0.0217,31,,,25,0.977,false,5638.39,4.36921,16.30948,799.331,13.8912,18.081724,7679.65,15.034542,1.504,3.047182,,,0,,,,,461688396,,0.002881,0.019074,0.004754,16.30948,0.002881,5638.39,0.016,0.792,0.7595,0.1219,0.084797
PMI08386-3856,08:38:36.72,129.65300000000002,-38:56:55.7,-38.94880555555556,0.101,-0.126,12.65,1.92,PMI08386-3857,08:38:37.73,129.65720833333336,-38:57:14.4,-38.954,0.101,-0.126,17.42,3.57,22.0,129.65716451334,-38.95401959404,7.239E-4,6.562E-4,11.58,5529084818047155072,129.65753381495,0.033,-38.9544755085,0.039,6.7365,0.0468,144.0798,121.236,64.617,0.041,-102.581,0.045,382,0.7279,413.79,0.0,0.0,31,,,26,1.026,false,4603.3,3.16691,16.529694,944.518,16.4342,17.900517,5530.15,15.391052,1.407,2.509464,,,0,,,,,438099403,,0.002855,0.019096,0.004101,16.529694,0.002855,4603.3,-0.002,0.6591,0.7213,0.0387,0.14151
PMI09502+0509E,09:50:13.89,147.55787500000002,+05:09:02.4,5.150666666666668,0.21,-0.22,11.8,1.61,PMI09502+0509W,09:50:12.89,147.55370833333333,+05:09:08.2,5.152277777777778,0.217,-0.216,18.66,4.09,16.0,147.5537563107,5.15230269495,0.0022227,0.0014318,117.39,3849898909065442816,147.55472204651,0.1112,5.15132661438,0.1037,8.7138,0.1154,75.5135,308.329,216.413,0.127,-219.618,0.097,274,2.1442,339.78,0.27,1.615,31,,,13,1.093,false,2137.86,2.26615,17.362417,341.736,12.6996,19.004314,2765.99,16.14327,1.454,2.861044,,,0,,,114181475546272187,1237658298455490701,,476135248,0.002986,0.040445,0.011731,17.362417,0.002986,2137.86,-0.007,2.0806,1.6315,-0.3478,0.194004
PMI10105+1203W,10:10:34.78,152.64491666666666,+12:03:17.6,12.05488888888889,-0.185,-0.078,12.53,1.55,PMI10105+1203E,10:10:35.17,152.64654166666665,+12:03:22.9,12.05636111111111,-0.185,-0.078,18.23,3.86,7.8,152.64655619672,12.05631200113,0.0015634,8.712E-4,122.44,3880754606955056256,152.64564864112,0.0684,12.05589010122,0.0624,4.9773,0.078,63.791,221.11,-199.696,0.086,-94.928,0.067,335,-0.8488,323.05,0.0,0.0,31,,,15,0.966,false,3169.48,2.22493,16.934896,742.421,9.84106,18.161917,3766.1,15.808166,1.422,2.353751,,,0,,,122461526459457768,1237661068712542237,,511159674,0.002859,0.01466,0.004898,16.934896,0.002859,3169.48,0.037,1.3998,1.1153,-0.4887,0.184048
PMI10520+1521N,10:52:02.16,163.00900000000001,+15:21:18.6,15.355166666666669,0.134,-0.15,16.23,2.37,PMI10520+1521S,10:52:01.65,163.006875,+15:21:09.5,15.352638888888889,0.134,-0.15,18.46,3.34,11.7,163.00684385072,15.35267525357,0.0030149,0.0017074,83.47,3981306216625912320,163.00742709852,0.1208,15.35199166732,0.0731,2.5201,0.0987,25.5357,199.176,126.548,0.183,-153.807,0.107,163,0.9923,183.95,0.196,0.7991,31,,,12,1.054,false,2307.66,2.45836,17.27944,702.006,10.4542,18.22269,2337.13,16.326189,1.317,1.896502,,,0,,,126421630074262966,1237668584356577385,,527168553,0.002988,0.016408,0.009061,17.27944,0.002988,2307.66,-0.004,3.0017,1.7306,0.1343,0.169798
PMI11110-4414,11:11:04.09,167.76704166666664,-44:14:15.9,-44.23775,-0.134,-0.32,12.97,1.56,PMI11109-4416,11:10:57.83,167.7409583333333,-44:16:31.1,-44.275305555555555,-0.152,-0.306,16.24,2.83,151.0,167.74094765721,-44.27530969287,3.947E-4,3.26E-4,39.01,5388610697078929920,167.7400425211,0.0194,-44.27668719397,0.0192,5.3786,0.0315,170.9869,342.525,-145.816,0.021,-309.937,0.023,643,-1.8816,586.31,0.0,0.0,31,,,21,0.947,false,12105.3,3.00168,15.479932,4010.85,8.2231,16.330452,11793.0,14.568839,1.306,1.761613,,,0,,,,,,,0.002768,0.003569,0.003904,15.479932,0.002768,12105.3,0.003,0.3548,0.369,0.1849,0.031291
PMI11125-3512,11:12:30.07,168.12529166666667,-35:12:35.0,-35.209722222222226,-0.115,-0.113,15.31,2.2,PMI11124-3512,11:12:28.92,168.1205,-35:12:36.0,-35.21000000000001,-0.115,-0.113,18.52,3.3,14.1,168.12051107869,-35.20996497578,0.0018233,0.0015681,106.02,5400653849798055808,168.12015775013,0.0601,-35.21010188936,0.0686,1.8626,0.1078,17.2756,71.889,-64.954,0.112,-30.805,0.1,442,-1.2193,419.59,0.0,0.0,31,,,20,0.958,false,1430.74,1.29742,17.798462,327.741,7.68869,19.049715,1647.3,16.705967,1.38,2.343748,,,0,,,,,86491519,,0.002926,0.025623,0.005542,17.798462,0.002926,1430.74,-0.003,1.8051,1.589,-0.08,0.13023
NLTT27188,11:22:26.44,170.61016666666666,-27:13:35.2,-27.226444444444443,-0.32,0.063,13.32,1.93,NLTT27182,11:22:23.60,170.59833333333336,-27:13:45.0,-27.229166666666668,-0.302,0.066,14.94,2.42,39.1,170.59831400377,-27.22924784972,0.0041636,0.00323,129.3,3531611424065033600,170.5967364035,0.1823,-27.22898941805,0.18,3.6373,0.282,12.898,320.936,-315.624,0.236,58.149,0.228,435,231.3011,105501.73,2.394,2542.0,31,,,20,15.654,false,33155.0,102.335,14.385996,14964.4,30.7619,14.900897,31043.3,13.517975,1.388,1.382922,,,0,,,75321705969245524,,87355593,,0.004338,0.003573,0.00407,14.385996,0.004338,33155.0,0.131,3.8166,3.6334,-0.244,0.298737
PMI11263+2047Ee,11:26:21.55,171.58979166666668,+20:47:22.7,20.789638888888888,0.118,-0.193,13.34,2.18,PMI11263+2047Ew,11:26:20.37,171.584875,+20:47:15.0,20.7875,0.118,-0.193,17.37,3.61,18.2,171.5848809416,20.78747435184,0.0011092,8.822E-4,133.56,3978789778107020672,171.58537631819,0.0517,20.78657485651,0.0506,8.0768,0.0582,138.7599,227.638,104.204,0.062,-202.387,0.061,190,-0.3427,248.96,0.175,1.738,95,1.2837,0.0154,14,0.98,false,5423.66,4.73109,16.351637,1205.56,12.3534,17.635572,6566.22,15.204606,1.433,2.430966,,,0,,,132941715852304781,1237667781218664495,,554168578,0.002914,0.01147,0.005448,16.335194,0.002909,5506.42,0.036,1.0078,0.9964,-0.2248,0.094474
PMI11330+1318N,11:33:02.86,173.26191666666665,+13:18:33.2,13.309222222222223,-0.237,-0.01,9.41,1.13,PMI11330+1318S,11:33:03.95,173.26645833333333,+13:18:17.1,13.30475,-0.227,0.008,15.98,3.19,22.7,173.26648629469,13.30474187451,6.788E-4,5.046E-4,106.84,3917948126090222976,173.26538130336,0.0331,13.30469062755,0.0275,10.8094,0.036,300.4117,242.225,-241.95,0.041,-11.531,0.033,221,0.1328,225.53,0.0,0.0,31,,,16,1.005,false,10445.3,6.20926,15.640069,1899.82,14.6909,17.141762,13252.3,14.442165,1.451,2.699596,,,0,,,123961732657586173,1237661951323340810,,517164608,0.00283,0.008847,0.004027,15.640069,0.00283,10445.3,0.014,0.666,0.5215,-0.1646,0.102233
PMI11392-4118N,11:39:12.23,174.80095833333337,-41:18:15.1,-41.30419444444444,-0.206,0.22,12.78,2.43,PMI11392-4118S,11:39:12.30,174.80125,-41:18:26.2,-41.307277777777784,-0.206,0.22,14.81,3.03,11.1,174.80122733909,-41.30729500651,2.506E-4,2.266E-4,137.03,5384089264747242752,174.80006594908,0.0138,-41.30667171355,0.0115,13.83,0.0203,682.1451,241.244,-196.293,0.014,140.242,0.015,719,5.5318,909.25,0.08,3.612,31,,,24,1.149,false,31204.6,9.62236,14.451822,6572.03,12.097,15.794293,37639.7,13.30878,1.417,2.485514,,,0,,,,,84440422,,0.002776,0.003432,0.003826,14.451822,0.002776,31204.6,0.012,0.2381,0.2398,-0.0999,0.087191
PMI11584-4155E,11:58:27.99,179.616625,-41:55:19.3,-41.92202777777778,-0.769,-0.266,9.0,1.67,PMI11584-4155W,11:58:26.46,179.61025,-41:55:03.4,-41.917611111111114,-0.766,-0.274,15.06,3.28,23.3,179.6102361518,-41.91760041606,3.812E-4,3.339E-4,52.04,5380306876026604544,179.60561573834,0.0203,-41.91880539961,0.0181,30.5515,0.0314,974.3066,819.697,-773.568,0.022,-271.1,0.022,450,10.6061,843.25,0.168,10.0,31,,,20,1.375,false,25052.0,11.5264,14.690261,4093.62,12.5943,16.308273,32600.2,13.464845,1.465,2.843429,,,0,,,,,,,0.0028,0.004352,0.003958,14.690261,0.0028,25052.0,0.007,0.364,0.3525,0.1279,0.053465
PMI12170+0742E,12:17:05.76,184.274,+07:42:30.3,7.7084166666666665,0.034,-0.158,15.25,1.7,PMI12170+0742W,12:17:04.98,184.27075,+07:42:31.1,7.7086388888888875,0.034,-0.158,18.4,2.98,11.6,184.27071332531,7.70859394479,0.0020107,0.0013451,97.73,3901699135233746048,184.27105488703,0.0976,7.70797675256,0.0684,2.0278,0.1139,17.802,158.38,76.157,0.124,-138.868,0.085,244,0.8121,268.48,0.205,0.7091,31,,,16,1.036,false,1835.45,1.81146,17.528008,602.109,12.4898,18.389355,1736.57,16.648664,1.274,1.74069,,,0,,,117251842709400372,,,489161134,0.002956,0.022694,0.006171,17.528008,0.002956,1835.45,-0.026,2.0006,1.3601,-0.1094,0.208079
PMI12237+0625,12:23:43.48,185.93116666666666,+06:25:10.3,6.419527777777778,-0.173,-0.021,14.06,2.2,PMI12237+0624,12:23:44.04,185.9335,+06:24:48.4,6.413444444444444,-0.173,-0.021,18.52,3.89,23.4,185.93342287918,6.41343684807,0.0016652,0.0010991,104.4,3900579729317324928,185.93264825045,0.0772,6.41330152724,0.0563,5.0033,0.0896,55.8214,175.857,-173.201,0.102,-30.447,0.071,271,-0.6479,262.71,0.0,0.0,31,,,15,0.971,false,2427.18,2.07612,17.224613,519.071,7.856,18.550476,2877.95,16.10019,1.4,2.450287,,,0,,,115691859330306495,1237661970112249908,,483157350,0.002908,0.016668,0.004937,17.224613,0.002908,2427.18,0.0,1.6359,1.1423,-0.2017,0.277249
PMI12277+1334,12:27:43.78,186.93241666666668,+13:34:16.2,13.571166666666667,0.082,-0.248,16.12,2.34,PMI12277+1336,12:27:46.62,186.94424999999998,+13:36:37.0,13.610277777777778,0.077,-0.269,18.29,2.8,146.7,186.94421583355,13.61025429704,0.0019856,0.0012497,93.41,3932790231690583552,186.94455328409,0.0869,13.60907255877,0.0631,2.4533,0.1029,23.8475,275.942,73.794,0.124,-265.891,0.079,246,-0.4314,241.95,0.0,0.0,31,,,16,0.979,false,1908.62,1.8052,17.485569,588.57,8.07687,18.414047,1898.73,16.551739,1.303,1.862309,,,0,,,124331869444811904,1237661951329108123,,519172729,0.00294,0.015158,0.008701,17.485569,0.00294,1908.62,-0.013,1.9835,1.2531,-0.0569,0.146412
PMI12283+1222S,12:28:18.28,187.07616666666667,+12:22:36.4,12.376777777777777,-0.184,-0.127,12.67,1.27,PMI12283+1222N,12:28:18.75,187.078125,+12:22:50.7,12.38075,-0.16,-0.112,19.23,3.21,15.8,187.07816886206,12.3808030875,0.0033962,0.0021491,96.47,3907884781492472320,187.07732561527,0.1412,12.38027541111,0.1099,3.1793,0.1588,20.0231,220.089,-185.318,0.21,-118.727,0.134,252,0.3867,266.39,0.159,0.1712,31,,,16,1.016,false,835.277,1.30786,18.382792,212.334,5.69671,19.520992,891.427,17.37268,1.321,2.148312,,,0,,,122851870773846893,1237658629695340601,,512166845,0.003238,0.029263,0.011562,18.382792,0.003238,835.277,-0.034,3.3833,2.1694,-0.1054,0.245585
PMI12440+0625E,12:44:02.57,191.01070833333333,+06:25:46.9,6.429694444444444,0.065,-0.135,13.16,1.27,PMI12440+0625We,12:44:00.58,191.00241666666668,+06:25:48.3,6.430083333333333,0.065,-0.135,19.68,3.55,29.7,191.00258937363,6.43004195746,0.004114,0.0026249,105.23,3709209971021479168,191.00283440675,0.1719,6.42940382737,0.0812,2.1375,0.197,10.8515,153.677,54.786,0.254,-143.579,0.172,464,1.4692,526.67,0.382,1.188,31,,,17,1.048,false,761.63,1.04592,18.483007,198.538,6.55205,19.593931,779.203,17.51877,1.284,2.075161,,,0,,,115711910027006062,1237671764789362833,,483158988,0.003133,0.035939,0.014982,18.483007,0.003133,761.63,-0.062,4.0289,2.7536,-0.2292,0.635536
PMI12508+0757,12:50:48.80,192.70333333333335,+07:57:56.7,7.965750000000001,0.047,-0.163,10.84,1.27,PMI12507+0758,12:50:47.08,192.69616666666664,+07:58:08.0,7.96888888888889,0.027,-0.151,18.14,3.89,28.0,192.69617246799,7.96886171867,0.0019892,0.0012699,126.73,3709811781839099520,192.69637728395,0.0715,7.96813709122,0.0429,5.9844,0.0807,74.2013,169.308,45.639,0.112,-163.041,0.098,394,-0.4432,394.05,0.0,0.0,31,,,18,0.983,false,2946.25,2.00025,17.014194,583.255,9.06024,18.423897,3608.27,15.854649,1.423,2.569248,,,0,,,117561926963012645,1237661972262617214,,490166058,0.002852,0.017095,0.005247,17.014194,0.002852,2946.25,0.006,1.7659,1.5656,-0.4064,0.099976
PMI13116+1106,13:11:41.81,197.92420833333335,+11:06:24.8,11.10688888888889,-0.102,-0.122,12.89,1.06,PMI13116+1105,13:11:32.30,197.88458333333335,+11:05:40.7,11.09463888888889,-0.106,-0.114,17.83,2.8,146.8,197.88461701756,11.09467134214,0.0021049,0.0012875,136.39,3735993833755728512,197.88408689669,0.0653,11.09417394178,0.0468,2.0333,0.0775,26.223,161.942,-117.048,0.11,-111.915,0.112,555,-1.0071,540.38,0.0,0.0,31,,,15,0.969,false,2984.82,1.47178,17.000072,1051.96,7.81372,17.78354,2794.91,16.131977,1.289,1.651564,,,0,,,121311978842963712,1237661815488839790,,506166021,0.002807,0.008534,0.005198,17.000072,0.002807,2984.82,0.0,1.7254,1.7639,-0.4551,0.166763
NLTT33282,13:13:09.08,198.28783333333334,-07:42:15.2,-7.704222222222223,-0.163,-0.196,15.04,2.15,NLTT33283,13:13:09.60,198.29000000000002,-07:42:07.8,-7.702166666666667,-0.159,-0.19,15.6,2.4,10.0,198.28999918131,-7.70216342107,6.642E-4,3.93E-4,105.39,3628318900565662848,198.28927688273,0.03,-7.70305269202,0.0205,4.2042,0.0365,115.2957,256.85,-161.051,0.04,-200.086,0.026,435,1.2288,474.88,0.07,1.063,31,,,16,1.041,false,14632.1,3.94173,15.2741,4868.67,11.0602,16.120016,14226.7,14.365133,1.305,1.754883,,,0,,,98751982895817225,,107320187,412116094,0.002771,0.003724,0.00416,15.2741,0.002771,14632.1,0.003,0.6489,0.4179,-0.2706,0.012044
PMI13133-4153N,13:13:20.50,198.33541666666667,-41:53:14.0,-41.88722222222222,-0.145,-0.044,13.65,2.07,PMI13133-4153S,13:13:21.15,198.338125,-41:53:29.2,-41.891444444444446,-0.145,-0.044,18.22,3.52,16.8,198.33813485416,-41.89147290965,0.0016448,0.0011377,90.57,6137513527321649280,198.3373457829,0.0851,-41.89163226169,0.058,6.0003,0.0895,67.0655,136.94,-132.163,0.101,-35.854,0.071,252,1.6021,297.21,0.163,0.624,31,,,17,1.072,false,2325.95,2.38431,17.270866,517.207,10.4461,18.554382,2702.48,16.168491,1.384,2.385891,,,0,,,,,95586956,,0.002972,0.022106,0.005454,17.270866,0.002972,2325.95,-0.006,1.6447,1.1378,-0.0075,0.105823
PMI13167+0810E,13:16:47.28,199.197,+08:10:27.4,8.174277777777778,0.189,-0.146,11.16,1.66,PMI13167+0810W,13:16:45.12,199.188,+08:10:21.5,8.172638888888889,0.186,-0.13,18.47,4.08,32.7,199.18799076857,8.17263647542,0.0025988,0.0011827,117.11,3731530091424109056,199.18885319143,0.1013,8.17200516608,0.0802,11.9643,0.1211,98.8242,238.892,192.074,0.149,-142.045,0.102,354,0.9517,417.73,0.216,0.6635,31,,,16,1.035,false,1690.4,1.98473,17.617395,203.901,10.7599,19.564991,2435.52,16.281418,1.561,3.283573,,,0,,,117801991885177168,1237661972802306340,,491172838,0.003036,0.057363,0.00655,17.617395,0.003036,1690.4,0.039,2.3752,1.5846,-0.5772,0.034024
PMI13372-4244E,13:37:14.25,204.30937500000002,-42:44:54.8,-42.748555555555555,0.129,-0.104,17.35,2.51,PMI13372-4244W,13:37:13.54,204.30641666666668,-42:44:54.4,-42.748444444444445,0.129,-0.104,19.43,3.31,7.8,204.30635327527,-42.74825581321,0.004004,0.0033623,148.45,6111802268244159488,204.30673207511,0.1902,-42.7486899926,0.1932,1.807,0.2499,7.2314,116.02,62.588,0.217,-97.69,0.232,230,0.716,251.3,0.15,0.09256,95,1.3924,0.053,15,1.033,false,621.679,1.37166,18.703451,170.912,8.84324,19.756613,658.584,17.701366,1.334,2.055246,,,0,,,,,,,0.003651,0.056247,0.013905,18.693679,0.003637,627.3,-0.008,3.5495,3.839,-0.1547,0.699445
PMI14055+0244S,14:05:30.97,211.3790416666667,+02:44:23.4,2.7398333333333333,-0.055,-0.131,15.45,2.04,PMI14055+0244N,14:05:31.65,211.38187499999998,+02:44:35.1,2.7430833333333333,-0.055,-0.131,20.6,4.1,15.5,211.38182827743,2.74322521601,0.005577,0.0038337,96.15,3667467115151048064,211.3815691886,0.2796,2.74259748957,0.2046,2.7206,0.2912,9.3422,152.771,-58.228,0.348,-141.238,0.242,220,-0.0208,232.79,0.0,0.0,95,1.2562,0.073,15,0.997,false,398.892,1.28035,19.185228,75.09,7.68594,20.649588,482.935,18.038174,1.399,2.611414,,,0,,,111292113816221686,1237651754560913615,,464136946,0.004443,0.111167,0.029337,19.165656,0.004394,406.148,-0.024,5.5601,3.8581,-0.0814,0.537699
PMI14124+0517S,14:12:28.75,213.11979166666669,+05:17:28.5,5.29125,-0.053,-0.172,13.29,1.39,PMI14124+0517N,14:12:28.04,213.11683333333332,+05:17:40.1,5.294472222222222,-0.053,-0.172,19.57,3.78,15.7,213.11681983258,5.29446833534,0.0032281,0.0026151,82.44,3671276613704368384,213.1165237169,0.1763,5.29366495491,0.1403,3.9262,0.2072,18.9482,192.55,-66.342,0.201,-180.761,0.164,172,-0.018,173.91,0.151,0.123,31,,,13,0.997,false,837.378,2.14666,18.380062,169.244,12.2144,19.767258,969.306,17.281742,1.36,2.485516,,,0,,,114352131166313236,1237651823781871636,,477156136,0.003916,0.078408,0.015487,18.380062,0.003916,837.378,-0.045,3.2185,2.6269,0.0553,0.050378
PMI14136-3634E,14:13:41.61,213.423375,-36:34:39.2,-36.577555555555556,-0.03,-0.166,15.27,2.12,PMI14136-3634W,14:13:40.94,213.42058333333335,-36:34:43.6,-36.57877777777778,-0.03,-0.166,17.91,2.68,9.1,213.42066275341,-36.5787889458,0.0017499,0.0014489,84.31,6118076463848580224,213.42040499748,0.0819,-36.57965785469,0.0696,3.5356,0.0866,40.8103,200.975,-46.572,0.109,-195.504,0.091,180,-1.879,152.97,0.0,0.0,95,1.3522,0.0219,14,0.899,false,2219.31,2.43982,17.321823,660.471,11.5661,18.288908,2296.25,16.345346,1.332,1.943562,,,0,,,,,100022491,,0.003003,0.019217,0.00564,17.313976,0.002999,2235.41,0.005,1.7472,1.4522,0.0375,0.233092
PMI14475+1134,14:47:35.80,221.89916666666664,+11:34:13.7,11.570472222222222,-0.049,-0.172,13.05,1.67,PMI14476+1134,14:47:36.16,221.90066666666667,+11:34:36.3,11.57675,-0.049,-0.172,20.37,3.25,23.1,221.90084403633,11.57642705051,0.0051544,0.0039593,86.95,1175399061331876224,221.90078542688,0.2552,11.57584141479,0.2213,1.5,0.3014,4.9763,132.4,-12.919,0.322,-131.768,0.246,204,1.0136,229.17,0.666,1.017,31,,,14,1.05,false,460.153,1.24174,19.030111,125.032,8.75829,20.095987,498.864,18.00294,1.356,2.093048,,,0,,,121892219007971813,1237662636367544658,,508176748,0.004022,0.076105,0.027624,19.030111,0.004022,460.153,0.008,5.1514,3.9632,0.0283,1.320221
PMI15413+1349N,15:41:19.36,235.33066666666664,+13:49:28.5,13.824583333333333,-0.19,-0.529,14.73,2.63,PMI15413+1349S,15:41:19.36,235.33066666666664,+13:49:23.6,13.823222222222222,-0.19,-0.529,16.76,3.19,4.0,235.33076785276,13.82324302915,9.057E-4,8.288E-4,79.84,1194062450875652736,235.32987739884,0.0402,13.82086089776,0.0369,9.829,0.0472,208.1971,570.196,-194.549,0.057,-535.98,0.053,274,1.3956,314.73,0.125,1.062,31,,,18,1.06,false,6150.43,3.9597,16.215103,1321.1,12.0798,17.536207,7416.49,15.072399,1.421,2.463808,,,0,,,124582353301036259,1237668365312196685,,520191536,0.002843,0.010312,0.004517,16.215103,0.002843,6150.43,0.019,0.9034,0.8313,0.0308,0.361564
PMI16008+0146E,16:00:53.85,240.22437500000004,+01:46:16.5,1.77125,-0.155,-0.132,13.25,1.98,PMI16008+0146W,16:00:53.48,240.22283333333337,+01:46:19.4,1.7720555555555555,-0.155,-0.132,17.91,3.53,6.2,240.22283431748,1.77206790218,0.0013092,0.0010403,95.04,4412485748771818752,240.22212362253,0.0643,1.77147507706,0.0527,6.479,0.0766,84.607,208.176,-159.83,0.082,-133.386,0.066,238,-0.5385,231.62,0.0,0.0,31,,,17,0.974,false,3059.18,2.45768,16.973354,729.458,12.8739,18.181042,3577.62,15.863912,1.408,2.31713,,,0,,,110122402222346344,1237651736857018678,,459152262,0.00289,0.019364,0.005855,16.973354,0.00289,3059.18,0.028,1.3073,1.0426,-0.0405,0.044589
PMI16519-4806N,16:51:58.19,252.9924583333333,-48:06:13.7,-48.10380555555555,-0.15,-0.109,15.02,1.93,PMI16519-4806S,16:51:57.91,252.99129166666668,-48:06:19.2,-48.105333333333334,-0.15,-0.109,17.31,3.09,6.2,252.99146220788,-48.10545592677,0.0038346,0.0030498,66.01,5939345866619921792,252.99142562533,0.1652,-48.10548780165,0.1194,-0.1113,0.1866,-0.5963,9.036,-5.496,0.23,-7.172,0.196,333,-3.0573,346.15,0.195,0.1975,95,1.0874,0.0416,20,0.882,false,607.382,1.21983,18.728712,65.7938,4.87877,20.79308,942.055,17.312706,1.659,3.480373,,,0,,,,,,,0.003514,0.080558,0.014319,18.703121,0.003482,621.868,0.109,3.7163,3.1929,0.1692,0.602374
