PriID,PriRA,PriRAdeg,PriDec,PriDecdeg,PripmRA,PripmDEC,PriV,PriV-J,SecID,SecRA,SecRAdeg,SecDec,SecDecdeg,SecpmRA,SecpmDEC,SecV,SecV-J,Sep,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
PMI02012+0218,02:01:15.09,30.312875,+02:18:25.8,2.307166666666667,0.209,-0.024,17.44,2.25,PMI02012+0217,02:01:17.12,30.32133333333333,+02:17:29.7,2.2915833333333335,0.209,-0.024,18.87,3.28,63.8,30.3213443454,2.2915493688,0.0022611,0.0015969,83.4,2511491132882561536,30.32236055846,0.1129,2.29139867022,0.0843,3.1641,0.1351,23.4236,230.968,228.465,0.141,-33.907,0.1,199,-0.189,198.51,0.0,0.0,31,,,14,0.989,false,1604.24,2.03597,17.67419,476.095,10.6203,18.644308,1639.31,16.711245,1.319,1.933064,,,0,,,110750303221400178,1237678619041726584,16952257,462006207,0.003081,0.02438,0.007413,17.67419,0.003081,1604.24,-0.007,2.2536,1.6075,0.0807,0.128529
PMI02225+1531S,02:22:34.06,35.64191666666666,+15:31:09.9,15.519416666666666,0.188,-0.141,12.67,1.66,PMI02225+1531N,02:22:33.00,35.637499999999996,+15:31:47.8,15.529944444444444,0.188,-0.141,18.33,3.46,40.8,35.63743792842,15.5298920291,0.0020824,0.0015596,62.73,76352840507524480,35.63832587615,0.0885,15.52928502856,0.0813,4.6186,0.0968,47.7108,236.023,192.494,0.123,-136.576,0.106,150,0.6406,163.05,0.188,0.7015,31,,,14,1.036,false,2663.68,2.88616,17.123663,725.688,12.5896,18.186668,2890.23,16.095564,1.357,2.091105,,,0,,,126630356380825904,,,528011116,0.002996,0.019041,0.006373,17.123663,0.002996,2663.68,0.01,1.9841,1.6829,0.2322,0.286286
PMI02267-4214,02:26:47.96,36.69983333333334,-42:14:58.9,-42.249694444444444,-0.022,-0.16,13.85,1.54,PMI02267-4215,02:26:46.85,36.69520833333333,-42:15:06.8,-42.25188888888889,-0.022,-0.16,19.25,3.9,14.7,36.69526295046,-42.25190577099,0.0016413,0.0012663,154.18,4949994446237129344,36.69527053413,0.0723,-42.25254402112,0.0829,4.0523,0.1037,39.0828,143.612,1.263,0.084,-143.606,0.099,461,0.8821,505.87,0.117,0.161,31,,,31,1.029,false,1134.77,1.23968,18.050097,234.635,6.71763,19.41256,1394.99,16.886465,1.436,2.526094,,,0,,,,,504964366,,0.003,0.03121,0.008322,18.050097,0.003,1134.77,0.026,1.3455,1.577,-0.2014,0.157719
NLTT8753,02:42:05.13,40.521375,-24:45:16.3,-24.754527777777778,-0.058,-0.419,16.4,2.42,NLTT8759,02:42:14.98,40.562416666666664,-24:44:18.0,-24.738333333333333,-0.056,-0.418,17.47,3.02,146.3,40.56237782041,-24.7383583137,0.0010155,8.386E-4,11.22,5077009239202809216,40.56204642554,0.0384,-24.7402294676,0.0472,5.6226,0.0598,94.0589,426.421,-67.721,0.053,-421.01,0.062,409,2.5103,501.88,0.209,2.202,31,,,20,1.089,false,3605.07,2.44404,16.795084,952.173,9.95663,17.891752,3944.19,15.758,1.358,2.133752,,,0,,,78310405620322357,,11351049,,0.002852,0.011691,0.004445,16.795084,0.002852,3605.07,0.005,0.846,1.0094,0.0733,0.155626
PMI02548+2057W,02:54:49.43,43.705958333333335,+20:57:34.8,20.959666666666667,0.04,-0.115,16.54,2.39,PMI02548+2057E,02:54:50.04,43.7085,+20:57:32.1,20.958916666666667,0.036,-0.122,19.86,3.29,8.9,43.70851487899,20.95883041189,0.0060874,0.0040446,46.25,109222255287954816,43.70876003441,0.2877,20.95826984683,0.2774,2.1434,0.3854,5.5612,136.24,51.51,0.326,-126.127,0.327,180,-0.9715,164.07,0.0,0.0,31,,,13,0.947,false,457.491,1.36656,19.036411,106.4,8.4297,20.271189,497.578,18.005743,1.32,2.265446,,,0,,,133150437086580715,1237666276358553763,,555017425,0.004256,0.086064,0.02878,19.036411,0.004256,457.491,-0.052,5.2116,5.1239,0.3872,0.31452
PMI02569-5831N,02:56:55.71,44.232125,-58:31:24.3,-58.52341666666667,0.152,-0.098,14.07,2.54,PMI02569-5831S,02:56:56.81,44.23670833333333,-58:31:36.6,-58.526833333333336,0.152,-0.098,20.76,4.77,15.0,44.23668758007,-58.52681320364,0.0044306,0.0036299,26.8,4726927313898813184,44.23804740734,0.181,-58.52716429416,0.2051,6.1246,0.2071,29.5686,178.207,159.742,0.235,-78.994,0.265,391,1.0384,492.58,0.969,2.318,95,1.1314,0.0556,26,1.037,false,389.953,0.830022,19.209837,54.527,5.42693,20.997013,592.669,17.815865,1.66,3.181149,,,0,,,,,499879807,,0.003596,0.108097,0.012671,19.184246,0.003562,399.253,0.152,3.8063,4.28,0.1594,0.082298
PMI03150+0102,03:15:04.76,48.76983333333333,+01:02:15.2,1.0375555555555556,0.363,0.117,10.26,1.36,PMI03150+0103,03:15:00.92,48.75383333333333,+01:03:08.3,1.0523055555555556,0.353,0.128,14.89,3.27,78.3,48.75384541921,1.05227397445,3.674E-4,2.519E-4,40.6,3266980243936341248,48.75545381316,0.0139,1.05279403873,0.0154,12.9069,0.0179,722.9915,380.278,361.828,0.019,117.014,0.02,223,1.9412,243.61,0.014,0.09782,31,,,16,1.093,false,53485.5,21.0376,13.866776,15095.5,41.1475,14.891423,56983.2,12.858528,1.348,2.032895,,,0,,,109260487548743638,1237666302165516336,76128507,456008376,0.002788,0.004067,0.003884,13.866776,0.002788,53485.5,0.008,0.3062,0.3236,0.3569,0.12173
PMI03256-3333E,03:25:41.79,51.424125000000004,-33:33:34.6,-33.55961111111111,0.137,-0.182,14.93,2.42,PMI03256-3333Wn,03:25:40.93,51.420541666666665,-33:33:25.3,-33.557027777777776,0.137,-0.182,16.72,3.07,14.2,51.42052865195,-33.55703648913,6.79E-4,4.378E-4,160.86,5053694301294923264,51.4211943998,0.0215,-33.55777532469,0.0277,2.8929,0.0346,83.6864,207.887,124.828,0.029,-166.238,0.041,510,8.0701,829.47,0.207,7.41,31,,,28,1.264,false,10201.6,3.04503,15.665698,3402.76,11.2358,16.508965,9973.64,14.750761,1.311,1.758204,,,0,,,67730514211141062,,17265507,,0.002774,0.004543,0.00417,15.665698,0.002774,10201.6,0.009,0.4697,0.6573,-0.2703,0.05008
NLTT12296,03:59:04.27,59.76779166666667,-06:56:03.2,-6.934222222222223,0.024,-0.253,15.05,2.42,NLTT12294,03:59:02.49,59.760375,-06:56:33.8,-6.942722222222223,0.023,-0.258,18.28,3.01,40.5,59.76040326225,-6.94272777926,0.0015281,0.0011687,95.78,3196825114253296000,59.76052512123,0.0829,-6.94383423774,0.0682,3.8935,0.1056,36.8627,250.437,27.217,0.096,-248.953,0.075,336,-0.6123,329.39,0.0,0.0,31,,,19,0.975,false,1634.49,1.59327,17.653913,413.63,8.64636,18.797012,1789.87,16.61584,1.348,2.181171,,,0,,,99660597604757922,1237652899163406422,22012717,,0.002952,0.022867,0.008725,17.653913,0.002952,1634.49,-0.012,1.5249,1.1729,-0.0543,0.10296
PMI04072+1526N,04:07:16.36,61.81816666666666,+15:26:42.8,15.445222222222222,0.109,-0.122,10.3,1.33,PMI04072+1526S,04:07:15.45,61.81437499999999,+15:26:20.2,15.438944444444447,0.103,-0.12,17.85,3.59,26.2,61.81439078063,15.43893099127,0.0018797,0.0014201,72.71,45163165961737984,61.81489210428,0.0836,15.43838777084,0.0612,10.0086,0.0906,110.4694,163.587,108.727,0.114,-122.225,0.091,260,0.8437,297.56,0.116,0.2743,31,,,16,1.036,false,2238.44,2.57425,17.312506,301.167,7.7386,19.141521,3062.42,16.032732,1.503,3.108789,,,0,,,126520618147986708,1237673328152674513,,528022728,0.003025,0.028038,0.005864,17.312506,0.003025,2238.44,0.006,1.8438,1.4665,0.1592,0.073105
