Stellar JD,Ra,_Dec_,Teff,logg,[M/H],[FeI/H]  stdev,[FeII/H]  stdev,vt,#FeI lines,#FeII lines
PM J19420+2014S,42:00.0,14:05.0,4400,0.65,-1.93,-1.99 0.32,-1.88 0.43,2.65,70,3
PM J14055+0244S,05:30.0,44:23.0,5190,3.06,-0.95,-0.98 0.21,-0.95 0.16,3.01,107,2
PM J12170+0742E,17:05.0,42:30.0,5627,5.7,-0.76,-0.87 0.18,-1.31 0.08,0.8,134,5
NLTT 16407,20:26.0,-30:36:15.46,5317,3.05,-1.14,-1.23 0.38,-1.12 0.08,2.52,68,3
PM J21175-4142E,17:32.0,,,,,,,,,
