| PriID           | PriRA       | PriRAdeg           | PriDec      | PriDecdeg           | PripmRA | PripmDEC | PriV  | PriV-J | SecID           | SecRA       | SecRAdeg           | SecDec      | SecDecdeg           | SecpmRA | SecpmDEC | SecV  | SecV-J | Sep   | ra_epoch2000    | dec_epoch2000   | errHalfMaj | errHalfMin | errPosAng | source_id           | ra              | ra_error | dec             | dec_error | parallax | parallax_error | parallax_over_error | pm      | pmra     | pmra_error | pmdec    | pmdec_error | astrometric_n_good_obs_al | astrometric_gof_al | astrometric_chi2_al | astrometric_excess_noise | astrometric_excess_noise_sig | astrometric_params_solved | pseudocolour | pseudocolour_error | visibility_periods_used | ruwe   | duplicated_source | phot_g_mean_flux | phot_g_mean_flux_error | phot_g_mean_mag | phot_bp_mean_flux | phot_bp_mean_flux_error | phot_bp_mean_mag | phot_rp_mean_flux | phot_rp_mean_mag | phot_bp_rp_excess_factor | bp_rp    | dr2_radial_velocity | dr2_radial_velocity_error | dr2_rv_nb_transits | dr2_rv_template_teff | dr2_rv_template_logg | panstarrs1         | sdssdr13            | skymapper2 | urat1     | phot_g_mean_mag_error | phot_bp_mean_mag_error | phot_rp_mean_mag_error | phot_g_mean_mag_corrected | phot_g_mean_mag_error_corrected | phot_g_mean_flux_corrected | phot_bp_rp_excess_factor_corrected | ra_epoch2000_error | dec_epoch2000_error | ra_dec_epoch2000_corr | angDist  |
+-----------------+-------------+--------------------+-------------+---------------------+---------+----------+-------+--------+-----------------+-------------+--------------------+-------------+---------------------+---------+----------+-------+--------+-------+-----------------+-----------------+------------+------------+-----------+---------------------+-----------------+----------+-----------------+-----------+----------+----------------+---------------------+---------+----------+------------+----------+-------------+---------------------------+--------------------+---------------------+--------------------------+------------------------------+---------------------------+--------------+--------------------+-------------------------+--------+-------------------+------------------+------------------------+-----------------+-------------------+-------------------------+------------------+-------------------+------------------+--------------------------+----------+---------------------+---------------------------+--------------------+----------------------+----------------------+--------------------+---------------------+------------+-----------+-----------------------+------------------------+------------------------+---------------------------+---------------------------------+----------------------------+------------------------------------+--------------------+---------------------+-----------------------+----------+
| PMI01430-4959W  | 01:43:00.68 | 25.752833333333335 | -49:59:26.8 | -49.99077777777778  | 0.021   | -0.181   | 14.09 | 1.22   | PMI01430-4959E  | 01:43:01.27 | 25.75529166666667  | -49:59:22.1 | -49.989472222222226 | 0.021   | -0.181   | 18.15 | 2.89   | 7.4   | 25.75278412906  | -49.99078936165 | 2.553E-4   | 2.17E-4    | 148.5     | 4917535935272224512 | 25.75300223599  | 0.0117   | -49.99155026159 | 0.0123    | 2.8559   | 0.0159         | 179.2239            | 174.085 | 31.55    | 0.014      | -171.202 | 0.016       | 438                       | 1.2913             | 476.38              | 0.016                    | 0.1288                       | 31                        |              |                    | 28                      | 1.043  | false             | 38960.4          | 6.04369                | 14.210807       | 18971.7           | 14.6519                 | 14.643276        | 28551.3           | 13.60883         | 1.22                     | 1.034446 |                     |                           | 0                  |                      |                      |                    |                     | 504045454  |           | 0.00276               | 0.002913               | 0.003842               | 14.210807                 | 0.00276                         | 38960.4                    | -0.0                               | 0.2281             | 0.2454              | -0.1437               | 0.121277 |
| PMI02012+0218   | 02:01:15.09 | 30.312875          | +02:18:25.8 | 2.307166666666667   | 0.209   | -0.024   | 17.44 | 2.25   | PMI02012+0217   | 02:01:17.12 | 30.32133333333333  | +02:17:29.7 | 2.2915833333333335  | 0.209   | -0.024   | 18.87 | 3.28   | 63.8  | 30.31285726272  | 2.30715138343   | 0.001551   | 0.001072   | 83.23     | 2511494186604826880 | 30.313587537    | 0.0785   | 2.30689290514   | 0.0553    | 2.0443   | 0.0869         | 23.53               | 174.175 | 164.179  | 0.097      | -58.158  | 0.067       | 207                       | 0.0636             | 211.82              | 0.0                      | 0.0                          | 31                        |              |                    | 15                      | 1.002  | false             | 2924.47          | 2.54802                | 17.022247       | 1066.1            | 13.2804                 | 17.769045        | 2630.18           | 16.197933        | 1.264                    | 1.571112 |                     |                           | 0                  |                      |                      | 110760303134288799 | 1237678619041726558 | 16952259   | 462006205 | 0.002913              | 0.01381                | 0.005742               | 17.022247                 | 0.002913                        | 2924.47                    | -0.015                             | 1.5453             | 1.0801              | 0.0882                | 0.084249 |
| PMI02225+1531S  | 02:22:34.06 | 35.64191666666666  | +15:31:09.9 | 15.519416666666666  | 0.188   | -0.141   | 12.67 | 1.66   | PMI02225+1531N  | 02:22:33.00 | 35.637499999999996 | +15:31:47.8 | 15.529944444444444  | 0.188   | -0.141   | 18.33 | 3.46   | 40.8  | 35.64192136747  | 15.51940097633  | 8.126E-4   | 5.714E-4   | 57.01     | 76305900809279872   | 35.64279817187  | 0.0311   | 15.51878522272  | 0.0305    | 4.8199   | 0.0343         | 140.3266            | 235.22  | 190.089  | 0.047      | -138.546 | 0.041       | 169                       | 13.0712            | 806.62              | 0.231                    | 50.23                        | 31                        |              |                    | 13                      | 1.8    | false             | 208860.0         | 53.1918                | 12.387731       | 102248.0          | 92.9411                 | 12.814403        | 153144.0          | 11.785145        | 1.223                    | 1.029258 | -55.02              | 1.52                      | 7                  | 6000.0               | 3.5                  | 126620356425233317 |                     |            | 528011119 | 0.002769              | 0.00296                | 0.003811               | 12.387731                 | 0.002769                        | 208860.0                   | 0.003                              | 0.7493             | 0.6523              | 0.3119                | 0.058792 |
| PMI02267-4214   | 02:26:47.96 | 36.69983333333334  | -42:14:58.9 | -42.249694444444444 | -0.022  | -0.16    | 13.85 | 1.54   | PMI02267-4215   | 02:26:46.85 | 36.69520833333333  | -42:15:06.8 | -42.25188888888889  | -0.022  | -0.16    | 19.25 | 3.9    | 14.7  | 36.69985176243  | -42.24970855194 | 3.403E-4   | 2.451E-4   | 154.28    | 4949994377517652480 | 36.69985910903  | 0.0142   | -42.25034560248 | 0.0171    | 4.0221   | 0.0202         | 199.4214            | 143.342 | 1.224    | 0.017      | -143.336 | 0.021       | 459                       | 17.8504            | 1228.55             | 0.154                    | 16.15                        | 31                        |              |                    | 30                      | 1.647  | false             | 53234.8          | 6.869                  | 13.871877       | 22861.0           | 14.5358                 | 14.440805        | 43298.4           | 13.156715        | 1.243                    | 1.28409  |                     |                           | 0                  |                      |                      |                    |                     | 504964367  |           | 0.002759              | 0.002874               | 0.003815               | 13.871877                 | 0.002759                        | 53234.8                    | -0.003                             | 0.2657             | 0.3245              | -0.2526               | 0.070648 |
| NLTT8753        | 02:42:05.13 | 40.521375          | -24:45:16.3 | -24.754527777777778 | -0.058  | -0.419   | 16.4  | 2.42   | NLTT8759        | 02:42:14.98 | 40.562416666666664 | -24:44:18.0 | -24.738333333333333 | -0.056  | -0.418   | 17.47 | 3.02   | 146.3 | 40.52136490276  | -24.75453877902 | 6.624E-4   | 6.047E-4   | 3.91      | 5077003294968072704 | 40.52102296827  | 0.0273   | -24.75641271565 | 0.0315    | 5.4985   | 0.0416         | 132.0821            | 427.385 | -69.866  | 0.038      | -421.636 | 0.041       | 380                       | 0.2108             | 394.85              | 0.0                      | 0.0                          | 31                        |              |                    | 20                      | 1.007  | false             | 6689.91          | 3.25372                | 16.123816       | 2068.09           | 8.62453                 | 17.04962         | 6712.59           | 15.18067         | 1.313                    | 1.86895  |                     |                           | 0                  |                      |                      | 78290405211173366  |                     | 11351038   |           | 0.002805              | 0.005318               | 0.004247               | 16.123816                 | 0.002805                        | 6689.91                    | -0.005                             | 0.6049             | 0.6622              | 0.0124                | 0.051557 |
| PMI02548+2057W  | 02:54:49.43 | 43.705958333333335 | +20:57:34.8 | 20.959666666666667  | 0.04    | -0.115   | 16.54 | 2.39   | PMI02548+2057E  | 02:54:50.04 | 43.7085            | +20:57:32.1 | 20.958916666666667  | 0.036   | -0.122   | 19.86 | 3.29   | 8.9   | 43.70599089375  | 20.95960496651  | 9.589E-4   | 7.107E-4   | 52.25     | 109216384068315904  | 43.70623640801  | 0.0489   | 20.95904602071  | 0.0403    | 2.1367   | 0.0572         | 37.3346             | 135.931 | 51.586   | 0.055      | -125.763 | 0.051       | 181                       | -1.2159            | 159.53              | 0.0                      | 0.0                          | 31                        |              |                    | 14                      | 0.934  | false             | 7162.5           | 4.42653                | 16.049706       | 2729.34           | 15.5291                 | 16.748398        | 6364.26           | 15.238525        | 1.27                     | 1.509872 |                     |                           | 0                  |                      |                      | 133150437061381651 | 1237666276358553762 |            | 555017424 | 0.002836              | 0.006778               | 0.005117               | 16.049706                 | 0.002836                        | 7162.5                     | -0.002                             | 0.8741             | 0.8127              | 0.2824                | 0.247627 |
| PMI02569-5831N  | 02:56:55.71 | 44.232125          | -58:31:24.3 | -58.52341666666667  | 0.152   | -0.098   | 14.07 | 2.54   | PMI02569-5831S  | 02:56:56.81 | 44.23670833333333  | -58:31:36.6 | -58.526833333333336 | 0.152   | -0.098   | 20.76 | 4.77   | 15.0  | 44.23214719819  | -58.52339528557 | 1.913E-4   | 1.714E-4   | 18.59     | 4726927313899652608 | 44.2335094675   | 0.0087   | -58.52374590665 | 0.0092    | 6.3059   | 0.0096         | 656.5427            | 178.431 | 160.044  | 0.011      | -78.888  | 0.012       | 390                       | -1.0055            | 351.86              | 0.0                      | 0.0                          | 31                        |              |                    | 27                      | 0.963  | false             | 88469.6          | 10.2522                | 13.320382       | 34429.7           | 24.5257                 | 13.996208        | 77455.3           | 12.525268        | 1.265                    | 1.470941 | 18.84               | 2.29                      | 18                 | 4000.0               | 3.0                  |                    |                     | 499879809  |           | 0.002758              | 0.002895               | 0.003795               | 13.320382                 | 0.002758                        | 88469.6                    | -0.002                             | 0.1735             | 0.1894              | 0.0665                | 0.087555 |
| PMI03150+0102   | 03:15:04.76 | 48.76983333333333  | +01:02:15.2 | 1.0375555555555556  | 0.363   | 0.117    | 10.26 | 1.36   | PMI03150+0103   | 03:15:00.92 | 48.75383333333333  | +01:03:08.3 | 1.0523055555555556  | 0.353   | 0.128    | 14.89 | 3.27   | 78.3  | 48.7698246057   | 1.03755391535   | 3.423E-4   | 2.616E-4   | 45.79     | 3266980170921153920 | 48.77143504567  | 0.014    | 1.03807070173   | 0.0144    | 12.9579  | 0.0168         | 769.9381            | 380.485 | 362.283  | 0.019      | 116.275  | 0.019       | 186                       | -0.816             | 364.63              | 0.085                    | 7.617                        | 31                        |              |                    | 16                      | 0.956  | false             | 1812510.0        | 362.732                | 10.041668       | 944309.0          | 599.978                 | 10.400757        | 1247540.0         | 9.507764         | 1.209                    | 0.892993 | 88.72               | 0.28                      | 7                  | 5250.0               | 4.5                  |                    | 1237660241923735724 | 76128501   | 456008381 | 0.002764              | 0.002874               | 0.003797               | 10.041668                 | 0.002764                        | 1812510.0                  | 0.002                              | 0.3058             | 0.3035              | 0.2623                | 0.031964 |
| PMI03256-3333E  | 03:25:41.79 | 51.424125000000004 | -33:33:34.6 | -33.55961111111111  | 0.137   | -0.182   | 14.93 | 2.42   | PMI03256-3333Wn | 03:25:40.93 | 51.420541666666665 | -33:33:25.3 | -33.557027777777776 | 0.137   | -0.182   | 16.72 | 3.07   | 14.2  | 51.4240899046   | -33.55961550985 | 0.0047126  | 0.003043   | 159.62    | 5053694301294923136 | 51.42474892486  | 0.1579   | -33.56035176709 | 0.1993    | 3.1494   | 0.2549         | 12.3572             | 206.665 | 123.563  | 0.206      | -165.657 | 0.282       | 524                       | 258.5497           | 131680.77           | 2.752                    | 4063.0                       | 31                        |              |                    | 29                      | 16.0   | false             | 33803.6          | 37.5666                | 14.364959       | 13215.2           | 14.2336                 | 15.035857        | 30914.4           | 13.522492        | 1.305                    | 1.513365 |                     |                           | 0                  |                      |                      | 67720514246677967  |                     | 17265508   |           | 0.003008              | 0.003025               | 0.003828               | 14.364959                 | 0.003008                        | 33803.6                    | 0.034                              | 3.291              | 4.5428              | -0.2828               | 0.106468 |
| NLTT12296       | 03:59:04.27 | 59.76779166666667  | -06:56:03.2 | -6.934222222222223  | 0.024   | -0.253   | 15.05 | 2.42   | NLTT12294       | 03:59:02.49 | 59.760375          | -06:56:33.8 | -6.942722222222223  | 0.023   | -0.258   | 18.28 | 3.01   | 40.5  | 59.76779816714  | -6.93423507919  | 2.915E-4   | 2.338E-4   | 87.9      | 3196825148613033600 | 59.7679193739   | 0.0157   | -6.93534234652  | 0.0133    | 3.7199   | 0.0199         | 186.8538            | 250.602 | 27.072   | 0.018      | -249.135 | 0.015       | 324                       | 1.9402             | 372.7               | 0.017                    | 0.1328                       | 31                        |              |                    | 19                      | 1.077  | false             | 36546.4          | 6.52565                | 14.280254       | 15799.2           | 19.52                   | 14.841951        | 29570.9           | 13.570734        | 1.241                    | 1.271217 |                     |                           | 0                  |                      |                      | 99670597678848102  | 1237652899163406341 | 22012721   | 416005980 | 0.002762              | 0.003096               | 0.003905               | 14.280254                 | 0.002762                        | 36546.4                    | -0.003                             | 0.2914             | 0.2339              | 0.0163                | 0.051788 |
