PriID,PriRA,PriRAdeg,PriDec,PriDecdeg,PripmRA,PripmDEC,PriV,PriV-J,SecID,SecRA,SecRAdeg,SecDec,SecDecdeg,SecpmRA,SecpmDEC,SecV,SecV-J,Sep,GPRI_ra_epoch2000,GPRI_dec_epoch2000,GPRI_errHalfMaj,GPRI_errHalfMin,GPRI_errPosAng,GPRI_source_id,GPRI_ra,GPRI_ra_error,GPRI_dec,GPRI_dec_error,GPRI_parallax,GPRI_parallax_error,GPRI_pmra,GPRI_pmra_error,GPRI_pmdec,GPRI_pmdec_error,GPRI_duplicated_source,GPRI_phot_g_mean_flux,GPRI_phot_g_mean_flux_error,GPRI_phot_g_mean_mag,GPRI_phot_bp_mean_flux,GPRI_phot_bp_mean_flux_error,GPRI_phot_bp_mean_mag,GPRI_phot_rp_mean_flux,GPRI_phot_rp_mean_flux_error,GPRI_phot_rp_mean_mag,GPRI_bp_rp,GPRI_radial_velocity,GPRI_radial_velocity_error,GPRI_rv_nb_transits,GPRI_teff_val,GPRI_a_g_val,GPRI_e_bp_min_rp_val,GPRI_radius_val,GPRI_lum_val,angDist,PM_Pri_RA_error,PM_Pri_DEC_error,PM_Sec_RA_error,PM_Sec_DEC_error
PMI02012+0218,01:15.1,30.312875,+02:18:25.8,2.307166667,0.209,-0.024,17.44,2.25,PMI02012+0217,01:17.1,30.32133333,+02:17:29.7,2.291583333,0.209,-0.024,18.87,3.28,63.8,30.31285674,2.307150621,0.003,0.002,90,2.51149E+18,30.31356473,0.0963,2.306900973,0.0671,2.0993,0.1082,164.303,0.163,-57.983,0.129,FALSE,2871.23,3.26796,17.043196,1068.52,13.9709,17.779432,2651.91,11.0606,16.203024,1.576408,,,0,4423,0.0835,0.07,,,0.087476,44.697,33.983,,
PMI02225+1531S,22:34.1,35.64191667,+15:31:09.9,15.51941667,0.188,-0.141,12.67,1.66,PMI02225+1531N,22:33.0,35.6375,+15:31:47.8,15.52994444,0.188,-0.141,18.33,3.46,40.8,35.64192213,15.51940177,0.002,0.001,90,7.63059E+16,35.64277077,0.0438,15.51880446,0.0341,4.806,0.0421,189.917,0.099,-138.733,0.083,FALSE,207675,41.8264,12.394905,101170,174.799,12.838761,153334,107.441,11.797826,1.040936,-55.02,1.52,7,5063.64,0.008,0.0048,0.81,0.387,0.056868,-1.917,-2.267,,
PMI02267-4214,26:48.0,36.69983333,-42:14:58.9,-42.24969444,-0.022,-0.16,13.85,1.54,PMI02267-4215,26:46.8,36.69520833,-42:15:06.8,-42.25188889,-0.022,-0.16,19.25,3.9,14.7,36.69985284,-42.24970863,0,0,0,4.94999E+18,36.69985886,0.0128,-42.25032573,0.0137,3.8931,0.018,1.035,0.025,-143.325,0.026,FALSE,52697,12.0888,13.883901,22493.5,26.4619,14.471246,43308.4,34.3324,13.17049,1.300756,,,0,5009.09,0.122,0.061,0.52,0.151,0.072866,-23.035,-16.675,,
NLTT8753,42:05.1,40.521375,-24:45:16.3,-24.75452778,-0.058,-0.419,16.4,2.42,NLTT8759,42:15.0,40.56241667,-24:44:18.0,-24.73833333,-0.056,-0.418,17.47,3.02,146.3,40.52136379,-24.75453911,0.002,0.001,90,5.077E+18,40.52103366,0.039,-24.75635415,0.0445,5.4771,0.0529,-69.631,0.098,-421.556,0.095,FALSE,6591.2,4.95019,16.140955,2075.21,9.3347,17.058735,6703.75,13.5818,15.196125,1.86261,,,0,3900,0.173,0.093,,,0.054835,11.631,2.556,,
PMI02548+2057W,54:49.4,43.70595833,+20:57:34.8,20.95966667,0.04,-0.115,16.54,2.39,PMI02548+2057E,54:50.0,43.7085,+20:57:32.1,20.95891667,0.036,-0.122,19.86,3.29,8.9,43.70599024,20.95960426,0.002,0.002,90,1.09216E+17,43.70622872,0.0652,20.95906349,0.0478,2.0481,0.0776,51.723,0.114,-125.599,0.104,FALSE,7058.06,5.46043,16.066652,2739.95,14.6389,16.75703,6349.04,17.6432,15.25515,1.501881,,,0,4476,0.046,0.0267,,,0.248962,-11.723,10.599,,
PMI02569-5831N,56:55.7,44.232125,-58:31:24.3,-58.52341667,0.152,-0.098,14.07,2.54,PMI02569-5831S,56:56.8,44.23670833,-58:31:36.6,-58.52683333,0.152,-0.098,20.76,4.77,15,44.23214719,-58.5233956,0,0,0,4.72693E+18,44.23346688,0.0116,-58.52373497,0.012,6.2803,0.0128,160.044,0.023,-78.82,0.023,FALSE,87712.7,27.2256,13.33071,33982.1,40.9602,14.023263,77283.3,51.6573,12.541706,1.481557,18.84,2.29,18,4604.61,0.29,0.133,0.52,0.108,0.086559,-8.044,-19.18,,
PMI03150+0102,15:04.8,48.76983333,+01:02:15.2,1.037555556,0.363,0.117,10.26,1.36,PMI03150+0103,15:00.9,48.75383333,+01:03:08.3,1.052305556,0.353,0.128,14.89,3.27,78.3,48.7698249,1.037553522,0.001,0.001,0,3.26698E+18,48.77138472,0.0393,1.038054551,0.0395,12.9124,0.0458,362.214,0.083,116.366,0.087,FALSE,1821670,510.037,10.037192,937935,1776.69,10.420956,1246190,3614.79,9.522956,0.898,88.72,0.28,7,5372.1,0.0387,0.0145,0.77,0.448,0.031215,0.786,0.634,,
PMI03256-3333E,25:41.8,51.424125,-33:33:34.6,-33.55961111,0.137,-0.182,14.93,2.42,PMI03256-3333Wn,25:40.9,51.42054167,-33:33:25.3,-33.55702778,0.137,-0.182,16.72,3.07,14.2,51.42411155,-33.55961727,0.006,0.005,0,5.05369E+18,51.42472808,0.1306,-33.56032889,0.1661,3.5506,0.2111,119.326,0.295,-165.279,0.394,FALSE,34070.8,11.0017,14.35741,13063.3,19.8548,15.061258,30861.1,32.4128,13.538391,1.522867,,,0,4434.18,0.1767,0.122,0.64,0.141,0.046044,17.674,-16.721,,
NLTT12296,59:04.3,59.76779167,-06:56:03.2,-6.934222222,0.024,-0.253,15.05,2.42,NLTT12294,59:02.5,59.760375,-06:56:33.8,-6.942722222,0.023,-0.258,18.28,3.01,40.5,59.7677978,-6.934235048,0.001,0.001,90,3.19683E+18,59.76791559,0.0216,-6.935307764,0.0173,3.6836,0.0293,27.157,0.043,-249.147,0.035,FALSE,36116.7,11.6989,14.294096,15565.6,25.3002,14.870973,29635,40.8864,13.582409,1.288564,,,0,5014.47,0.0673,0.0615,,,0.051106,-3.157,-3.853,,
PMI04072+1526N,07:16.4,61.81816667,+15:26:42.8,15.44522222,0.109,-0.122,10.3,1.33,PMI04072+1526S,07:15.5,61.814375,+15:26:20.2,15.43894444,0.103,-0.12,17.85,3.59,26.2,61.81816818,15.44521624,0.001,0.001,90,4.51632E+16,61.81865062,0.0435,15.44469081,0.0273,10.0153,0.0472,108.004,0.094,-122.034,0.072,TRUE,1735260,598.712,10.089952,900343,744.211,10.465368,1184570,1196.65,9.578014,0.887354,76.22,0.44,4,5456,0.135,0.0625,0.94,0.702,0.022184,0.996,0.034,,
PMI04099+0942E,09:54.3,62.47625,+09:42:58.8,9.716333333,0.078,-0.273,14.21,1.94,PMI04099+0942W,09:54.1,62.47529167,+09:42:56.4,9.715666667,0.078,-0.273,17.11,3.94,4.2,62.47624344,9.716360146,0.001,0.001,90,3.3004E+18,62.4765896,0.0256,9.715145438,0.0211,4.026,0.0296,79.247,0.061,-282.126,0.056,FALSE,50184.9,12.686,13.936934,21704.1,28.6446,14.510033,41550.5,69.9799,13.21548,1.294553,,,0,4820.66,0.1635,0.075,0.54,0.141,0.099298,-1.247,9.126,,
PMI04254-4601,25:28.7,66.36975,-46:01:23.9,-46.02330556,0.1,-0.124,14.51,1.67,PMI04255-4601,25:30.8,66.3785,-46:01:22.7,-46.02297222,0.1,-0.124,20.24,3.83,21.9,66.36975708,-46.02329119,0.006,0.006,0,4.78947E+18,66.37028981,0.1787,-46.02377182,0.1901,1.7408,0.1876,85.914,0.382,-111.629,0.398,FALSE,36861.2,21.4413,14.271941,17599.8,23.159,14.73762,28372.2,28.3785,13.629689,1.107931,,,0,5056.16,,,0.94,0.524,0.054655,14.086,-12.371,,
PMI04325-5657N,32:32.4,68.13516667,-56:57:04.3,-56.95119444,0.124,-0.133,12.22,1.34,PMI04325-5657S,32:31.8,68.13245833,-56:57:14.6,-56.95405556,0.124,-0.133,16.81,3.16,11.6,68.13512087,-56.95118118,0.001,0.001,90,4.77522E+18,68.13608033,0.0176,-56.95162318,0.0182,5.1142,0.019,121.528,0.046,-102.658,0.04,FALSE,281100,51.6413,12.066216,145748,212.545,12.442379,195054,163.221,11.536535,0.905844,189.63,0.97,11,5471,0.029,0.0145,0.73,0.435,0.101811,2.472,-30.342,,
PMI04327+0820,32:45.6,68.18995833,+08:20:05.5,8.334861111,0.053,-0.085,14.09,1.73,PMI04327+0820-2,32:46.1,68.19208333,+08:20:14.6,8.337388889,0.053,-0.085,19.89,3.09,11.9,68.18998619,8.33487552,0.003,0.001,90,3.28724E+18,68.19024293,0.0746,8.334498684,0.04,2.2971,0.0941,59,0.165,-87.523,0.089,FALSE,61997.9,8.15439,13.707423,31084.7,24.3602,14.120021,45395.2,26.5823,13.119394,1.000627,,,0,5181.32,0.0205,0.0097,0.87,0.495,0.111964,-6,2.523,,
PMI04332+0013,33:17.8,68.32433333,+00:13:59.8,0.233277778,-0.06,-0.152,11.43,1.22,PMI04333+0014,33:18.7,68.32779167,+00:14:14.0,0.237222222,-0.064,-0.14,16.85,3.51,18.9,68.32433981,0.233227921,0.002,0.001,90,3.2306E+18,68.32408158,0.0569,0.232586373,0.034,6.2094,0.0663,-59.976,0.124,-149.005,0.077,FALSE,584040,540.692,11.27226,306819,362.386,11.634183,391883,384.241,10.77903,0.855153,-19.91,0.61,14,5639,0.0113,0.0065,0.81,0.604,0.180991,-0.024,-2.995,,
PMI04477-3044W,47:42.6,71.92770833,-30:44:03.2,-30.73422222,0.157,-0.142,11.59,1.31,PMI04477-3044E,47:44.2,71.93425,-30:44:02.5,-30.73402778,0.143,-0.143,18.8,3.75,20.3,71.92772014,-30.73423109,0.001,0.001,0,4.87802E+18,71.92853515,0.0175,-30.73486411,0.0207,6.9143,0.0249,162.705,0.037,-147.021,0.052,FALSE,495981,198.784,11.449702,260582,210.24,11.811528,339820,266.531,10.933796,0.877732,87.39,2.56,9,5692,0.066,0.0152,0.66,0.412,0.048506,-5.705,5.021,,
